iter	Passed	Remaining
706	1689	700
707	1691	697
708	1693	694
709	1694	691
710	1695	688
711	1696	686
712	1697	683
713	1698	680
714	1698	677
715	1699	674
716	1700	671
717	1701	668
718	1702	665
719	1704	662
720	1706	660
721	1707	657
722	1708	654
723	1709	651
724	1710	648
725	1711	646
726	1712	643
727	1713	640
728	1714	637
729	1715	634
730	1716	631
731	1717	628
732	1719	626
733	1721	623
734	1722	621
735	1723	618
736	1724	615
737	1725	612
738	1726	609
739	1728	607
740	1729	604
741	1730	601
742	1731	598
743	1732	596
744	1734	593
745	1736	591
746	1737	588
747	1738	585
748	1739	582
749	1740	580
750	1741	577
751	1742	574
752	1743	571
753	1744	569
754	1745	566
755	1746	563
756	1747	560
757	1749	558
758	1752	556
759	1753	553
760	1754	551
761	1755	548
762	1757	545
763	1758	543
764	1759	540
765	1760	537
766	1761	535
767	1767	533
768	1768	531
769	1769	528
770	1770	525
771	1771	523
772	1772	520
773	1773	517
774	1774	515
775	1775	512
776	1779	510
777	1781	508
778	1782	505
779	1784	503
780	1785	500
781	1786	498
782	1787	495
783	1788	492
784	1789	490
785	1791	487
786	1805	488
787	1806	485
788	1808	483
789	1811	481
790	1812	478
791	1814	476
792	1815	473
793	1816	471
794	1817	468
795	1818	466
796	1821	463
797	1824	461
798	1826	459
799	1827	456
800	1828	454
801	1829	451
802	1830	449
803	1832	446
804	1833	444
805	1834	441
806	1835	439
807	1838	436
808	1840	434
809	1841	431
810	1842	429
811	1843	426
812	1844	424
813	1846	421
814	1847	419
815	1848	416
816	1849	414
817	1851	411
818	1852	409
819	1854	407
820	1855	404
821	1857	402
822	1858	399
823	1860	397
824	1861	394
825	1862	392
826	1863	389
827	1864	387
828	1867	385
829	1870	383
830	1871	380
831	1872	378
832	1873	375
833	1875	373
834	1877	371
835	1879	368
836	1881	366
837	1883	364
838	1885	361
839	1886	359
840	1887	356
841	1888	354
842	1889	351
843	1891	349
844	1892	347
845	1893	344
846	1895	342
847	1897	340
848	1898	337
849	1899	335
850	1900	332
851	1901	330
852	1902	327
853	1904	325
854	1905	323
855	1906	320
856	1908	318
857	1910	316
858	1911	313
859	1912	311
860	1914	309
861	1915	306
862	1916	304
863	1917	301
864	1918	299
865	1919	297
866	1920	294
867	1921	292
868	1923	290
869	1925	287
870	1927	285
871	1929	283
872	1930	280
873	1931	278
874	1932	276
875	1933	273
876	1935	271
877	1936	269
878	1938	266
879	1940	264
880	1942	262
881	1943	259
882	1944	257
883	1945	255
884	1946	252
885	1948	250
886	1949	248
887	1950	245
888	1951	243
889	1954	241
890	1956	239
891	1957	237
892	1958	234
893	1960	232
894	1962	230
895	1964	227
896	1965	225
897	1966	223
898	1968	221
899	1971	219
900	1972	216
901	1973	214
902	1974	212
903	1975	209
904	1977	207
905	1979	205
906	1980	203
907	1982	200
908	1985	198
909	1986	196
910	1987	194
911	1989	191
912	1990	189
913	1992	187
914	1993	185
915	1995	182
916	1996	180
917	1999	178
918	2001	176
919	2004	174
920	2006	172
921	2007	169
922	2008	167
923	2009	165
924	2014	163
925	2016	161
926	2018	158
927	2020	156
928	2021	154
929	2022	152
930	2023	149
931	2024	147
932	2029	145
933	2030	143
934	2032	141
935	2033	139
936	2034	136
937	2035	134
938	2036	132
939	2037	130
940	2039	127
941	2040	125
942	2042	123
943	2043	121
944	2047	119
945	2049	116
946	2050	114
947	2051	112
948	2052	110
949	2053	108
950	2054	105
951	2056	103
952	2060	101
953	2061	99
954	2063	97
955	2064	95
956	2065	92
957	2066	90
958	2067	88
959	2068	86
960	2070	84
961	2074	81
962	2075	79
963	2076	77
964	2077	75
965	2078	73
966	2079	70
967	2081	68
968	2082	66
969	2083	64
970	2084	62
971	2086	60
972	2088	57
973	2089	55
974	2090	53
975	2092	51
976	2093	49
977	2094	47
978	2096	44
979	2097	42
980	2098	40
981	2099	38
982	2103	36
983	2105	34
984	2106	32
985	2108	29
986	2109	27
987	2110	25
988	2112	23
989	2113	21
990	2114	19
991	2117	17
992	2118	14
993	2119	12
994	2121	10
995	2122	8
996	2123	6
997	2124	4
998	2127	2
999	2129	0
